"SITECODE","SYEAR","PLOTPID","SDATE","PEDATE","LANDUSE","SLOPE","ASPECT","SLOPEFORM","NVCCLASS"
"T08",2002,104,17-JUN-02,17-JUN-02,"11",5,140,"2","W8a"
"T08",2002,72,17-JUN-02,17-JUN-02,"11",4,330,"2","W14"
"T04",2002,71,17-JUN-02,,"16",,,"",""
"T04",2002,61,17-JUN-02,,"16",,,"",""
"T08",2002,173,18-JUN-02,18-JUN-02,"3",4,310,"2","MG1d"
"T04",2002,507,18-JUN-02,,"18",,,"",""
"T04",2002,206,18-JUN-02,,"18",,,"",""
"T04",2002,800,18-JUN-02,,"18",,,"",""
"T04",2002,801,18-JUN-02,,"2",,,"",""
"T08",2002,168,18-JUN-02,18-JUN-02,"22",3,50,"2","W8"
"T04",2002,226,18-JUN-02,,"16",,,"",""
"T10",2004,47,21-JUN-02,21-JUN-02,"",,,"",""
"T10",2004,3,21-JUN-02,21-JUN-02,"",,,"",""
"T04",2002,454,24-JUN-02,,"2",,,"",""
"T04",2002,450,24-JUN-02,,"16",,,"",""
"T04",2002,444,24-JUN-02,,"11",,,"",""
"T04",2002,449,24-JUN-02,,"18",,,"",""
"T08",2002,421,25-JUN-02,25-JUN-02,"3",10,45,"2","MG5b"
"T08",2002,420,25-JUN-02,25-JUN-02,"2",2,45,"2","MG7a"
"T04",2002,247,25-JUN-02,,"18",,,"",""
"T04",2002,251,25-JUN-02,,"18",,,"",""
"T04",2002,254,25-JUN-02,,"16",,,"",""
"T04",2002,611,26-JUN-02,,"16",,,"",""
"T04",2002,371,26-JUN-02,,"2",,,"",""
"T08",2002,218,27-JUN-02,27-JUN-02,"11",4,330,"2","W8a"
"T08",2002,327,27-JUN-02,27-JUN-02,"11",8,50,"3","W8a"
"T08",2002,239,27-JUN-02,27-JUN-02,"11",5,5,"2","W8a"
"T08",2002,61,27-JUN-02,27-JUN-02,"13",5,160,"2","W8"
"T10",2004,28,28-JUN-02,28-JUN-02,"",,,"",""
"T08",2002,401,28-JUN-02,28-JUN-02,"2",2,10,"2","MG7a"
"T04",2002,399,01-JUL-02,,"2",,,"",""
"T04",2002,411,01-JUL-02,,"2",,,"",""
"T08",2002,416,01-JUL-02,01-JUL-02,"2",2,45,"2","MG7a"
"T07",2002,156,02-JUL-02,02-JUL-02,"16",6,100,"2","U4E"
"T04",2002,307,02-JUL-02,,"18",,,"",""
"T04",2002,326,02-JUL-02,,"16",,,"",""
"T04",2002,348,03-JUL-02,,"18",,,"",""
"T04",2002,429,03-JUL-02,,"18",,,"",""
"T04",2002,419,03-JUL-02,,"16",,,"",""
"T04",2002,428,03-JUL-02,,"18",,,"",""
"T07",2002,272,03-JUL-02,03-JUL-02,"16",15,244,"3","MG9A"
"T07",2002,151,04-JUL-02,04-JUL-02,"16",11,178,"1","U5A"
"T07",2002,152,04-JUL-02,04-JUL-02,"16",12,180,"2","U5A"
"T07",2002,1,05-JUL-02,05-JUL-02,"15",3,142,"2","M20A"
"T07",2002,6,05-JUL-02,05-JUL-02,"15",6,127,"2","M20A"
"T04",2002,310,08-JUL-02,,"18",,,"",""
"T07",2002,278,08-JUL-02,08-JUL-02,"16",9,324,"2","M23A"
"T07",2002,277,08-JUL-02,08-JUL-02,"16",3,284,"2","MG9A"
"T07",2002,308,09-JUL-02,09-JUL-02,"16",10,282,"2","MG10A"
"T04",2002,396,09-JUL-02,,"18",,,"",""
"T07",2002,320,09-JUL-02,09-JUL-02,"16",18,122,"2","U20A"
"T07",2002,451,11-JUL-02,11-JUL-02,"16",32,278,"2","U4A"
"T04",2002,372,11-JUL-02,,"18",,,"",""
"T04",2002,390,11-JUL-02,,"16",,,"",""
"T04",2002,402,11-JUL-02,,"16",,,"",""
"T04",2002,404,11-JUL-02,,"18",,,"",""
"T07",2002,436,11-JUL-02,11-JUL-02,"16",4,0,"2","U4D"
"T07",2002,305,15-JUL-02,15-JUL-02,"16",13,150,"2","MG10A"
"T07",2002,30,16-JUL-02,16-JUL-02,"15",4,255,"2","H12A"
"T07",2002,2,16-JUL-02,16-JUL-02,"15",7,210,"2","H12A"
"T07",2002,47,17-JUL-02,17-JUL-02,"16",18,117,"3","U20A"
"T07",2002,102,18-JUL-02,18-JUL-02,"16",8,260,"2","M23A"
"T07",2002,59,19-JUL-02,19-JUL-02,"16",22,120,"3","U4B"
"T04",2002,509,23-JUL-02,,"18",,,"",""
"T04",2002,502,26-JUL-02,,"18",,,"",""
"T10",2004,888,05-AUG-02,05-AUG-02,"",,,"",""
"T10",2004,777,05-AUG-02,05-AUG-02,"",,,"",""
"T10",2004,277,05-AUG-02,05-AUG-02,"",,,"",""
"T10",2004,256,05-AUG-02,05-AUG-02,"",,,"",""
"T10",2004,237,05-AUG-02,05-AUG-02,"",,,"",""
"T10",2004,269,06-AUG-02,06-AUG-02,"",,,"",""
"T10",2004,249,06-AUG-02,06-AUG-02,"",,,"",""
"T10",2004,50,07-AUG-02,07-AUG-02,"",,,"",""
"T10",2004,34,07-AUG-02,07-AUG-02,"",,,"",""
"T10",2004,56,19-AUG-02,19-AUG-02,"",,,"",""
"T10",2004,444,19-AUG-02,19-AUG-02,"",,,"",""
"T10",2004,219,21-AUG-02,21-AUG-02,"",,,"",""
"T10",2004,288,22-AUG-02,22-AUG-02,"",,,"",""
"T08",2002,370,23-AUG-02,23-AUG-02,"18",2,60,"2","S26a"
"T12",2002,2,02-SEP-02,,"",,,"",""
"T12",2002,280,03-SEP-02,,"",,,"",""
"T12",2002,349,03-SEP-02,,"",,,"",""
"T12",2002,335,03-SEP-02,,"",,,"",""
"T12",2002,24,04-SEP-02,,"",,,"",""
"T12",2002,74,05-SEP-02,,"",,,"",""
"T12",2002,7,05-SEP-02,,"",,,"",""
"T12",2002,41,05-SEP-02,,"",,,"",""
"T12",2002,92,10-SEP-02,,"",,40,"",""
"T12",2002,100,11-SEP-02,,"",,220,"",""
"T12",2002,54,11-SEP-02,,"",,235,"",""
"T12",2002,134,11-SEP-02,,"",,270,"",""
"T02",2002,436,24-SEP-02,24-SEP-02,"15",16,280,"2","H12"
"T02",2002,435,24-SEP-02,24-SEP-02,"15",20,280,"2","H12"
"T02",2002,437,25-SEP-02,25-SEP-02,"3",25,180,"1","U20"
"T10",2004,208,26-SEP-02,26-SEP-02,"",,,"",""
"T02",2002,424,27-SEP-02,27-SEP-02,"15",15,293,"1","H10/H12"
"T02",2002,428,27-SEP-02,27-SEP-02,"2",12,285,"2","MG6"
"T02",2002,443,27-SEP-02,27-SEP-02,"15",15,161,"2","H12"
"T02",2002,434,27-SEP-02,27-SEP-02,"15",13,170,"2","H12"
"T02",2002,440,01-OCT-02,01-OCT-02,"2",5,63,"2","U4"
"T02",2002,384,01-OCT-02,01-OCT-02,"2",13,300,"2","U4"
"T02",2002,396,01-OCT-02,01-OCT-02,"2",16,114,"2","U4"
"T02",2002,441,02-OCT-02,02-OCT-02,"18",6,170,"2","M23"
"T02",2002,439,03-OCT-02,03-OCT-02,"18",5,84,"1","M19"
"T10",2004,999,03-OCT-02,03-OCT-02,"",,,"",""
"T10",2004,666,03-OCT-02,03-OCT-02,"",,,"",""
"T02",2002,442,04-OCT-02,04-OCT-02,"18",7,330,"2","M19b"
"T02",2002,438,08-OCT-02,08-OCT-02,"3",14,302,"2","M23"
"T10",2004,287,13-OCT-02,13-OCT-02,"",,,"",""
"T07",2003,1,08-JUL-03,08-JUL-03,"15",3,142,"2","M20A"
"T07",2003,6,08-JUL-03,08-JUL-03,"15",6,127,"2","M20A"
"T07",2003,30,10-JUL-03,10-JUL-03,"15",4,255,"2","H12A"
"T07",2003,151,10-JUL-03,10-JUL-03,"16",11,178,"1","U5A"
"T07",2003,277,11-JUL-03,11-JUL-03,"16",3,284,"2","MG9A"
"T07",2003,278,15-JUL-03,15-JUL-03,"16",9,324,"2","M23A"
"T07",2003,308,17-JUL-03,17-JUL-03,"16",10,282,"2","MG10A"
"T07",2003,451,18-JUL-03,18-JUL-03,"16",32,278,"2","U4A"
"T07",2003,436,18-JUL-03,18-JUL-03,"16",4,0,"2","U4D"
"T07",2003,47,21-JUL-03,21-JUL-03,"16",18,117,"3","U20A"
"T07",2003,59,22-JUL-03,22-JUL-03,"16",22,120,"3","U4B"
"T10",2004,247,18-MAY-04,18-MAY-04,"",,,"",""
"T10",2004,289,18-MAY-04,18-MAY-04,"",,,"",""
"T10",2004,99,19-MAY-04,19-MAY-04,"",,,"",""
"T10",2004,555,08-JUN-04,08-JUN-04,"",,,"",""
"T10",2004,14,09-JUN-04,09-JUN-04,"",,,"",""
"T10",2004,32,09-JUN-04,09-JUN-04,"",,,"",""
"T10",2004,162,30-JUN-04,30-JUN-04,"",,,"",""
"T07",2004,278,09-JUL-04,09-JUL-04,"16",9,324,"2","M23A"
"T07",2004,277,12-JUL-04,12-JUL-04,"16",3,284,"2","MG9A"
"T07",2004,308,13-JUL-04,13-JUL-04,"16",10,282,"2","MG10A"
"T07",2004,436,13-JUL-04,13-JUL-04,"16",4,0,"2","U4D"
"T07",2004,151,14-JUL-04,14-JUL-04,"16",11,178,"1","U5A"
"T07",2004,6,15-JUL-04,15-JUL-04,"15",6,127,"2","M20A"
"T07",2004,1,15-JUL-04,15-JUL-04,"15",3,142,"2","M20A"
"T07",2004,30,15-JUL-04,15-JUL-04,"15",4,255,"2","H12A"
"T07",2004,47,16-JUL-04,16-JUL-04,"16",18,117,"3","U20A"
"T07",2004,451,16-JUL-04,16-JUL-04,"16",32,278,"2","U4A"
"T07",2004,59,16-JUL-04,16-JUL-04,"16",22,120,"3","U4B"
"T04",2004,1,19-JUL-04,,"",,,"",""
"T04",2004,501,19-JUL-04,19-JUL-04,"",,,"",""
"T04",2004,21,19-JUL-04,,"",,,"",""
"T04",2004,13,19-JUL-04,,"",,,"",""
"T04",2004,500,20-JUL-04,20-JUL-05,"",,,"",""
"T04",2004,78,20-JUL-04,,"",,,"",""
"T04",2004,502,20-JUL-04,,"",,,"",""
"T04",2004,61,20-JUL-04,20-JUL-04,"",,,"",""
"T04",2004,19,20-JUL-04,,"",,,"",""
"T04",2004,71,21-JUL-04,21-JUL-04,"",,,"",""
"T04",2004,507,22-JUL-04,,"",,,"",""
"T04",2004,206,22-JUL-04,,"",,,"",""
"T04",2004,226,22-JUL-04,22-JUL-04,"",,,"",""
"T04",2004,800,22-JUL-04,,"",,,"",""
"T04",2014,254,22-JUL-04,22-JUL-14,"",,,"",""
"T04",2004,509,22-JUL-04,,"",,,"",""
"T04",2004,450,03-AUG-04,,"",,,"",""
"T04",2004,444,03-AUG-04,,"",,,"",""
"T04",2004,411,03-AUG-04,03-AUG-04,"",,,"",""
"T04",2004,371,03-AUG-04,03-AUG-04,"",,,"",""
"T04",2004,254,05-AUG-04,05-AUG-05,"",,,"",""
"T04",2004,247,05-AUG-04,05-AUG-04,"",,,"",""
"T04",2004,611,05-AUG-04,,"",,,"",""
"T10",2004,261,17-SEP-04,17-SEP-04,"",,,"",""
"T10",2004,148,17-SEP-04,17-SEP-04,"",,,"",""
"T10",2005,277,20-MAY-05,20-MAY-05,"",,,"",""
"T10",2005,256,20-MAY-05,20-MAY-05,"",,,"",""
"T10",2005,888,20-MAY-05,20-MAY-05,"",,,"",""
"T10",2005,777,20-MAY-05,20-MAY-05,"",,,"",""
"T10",2005,288,25-MAY-05,25-MAY-05,"",,,"",""
"T10",2005,269,25-MAY-05,25-MAY-05,"",,,"",""
"T10",2005,287,25-MAY-05,25-MAY-05,"",,,"",""
"T10",2005,999,25-MAY-05,25-MAY-05,"",,,"",""
"T10",2005,237,25-MAY-05,25-MAY-05,"",,,"",""
"T10",2005,444,26-MAY-05,26-MAY-05,"",,,"",""
"T10",2005,666,31-MAY-05,,"",,,"",""
"T10",2005,219,31-MAY-05,31-MAY-05,"",,,"",""
"T10",2005,555,01-JUN-05,01-JUN-05,"",,,"",""
"T10",2005,247,01-JUN-05,01-JUN-05,"",,,"",""
"T10",2005,3,01-JUN-05,01-JUN-05,"",,,"",""
"T10",2005,47,01-JUN-05,01-JUN-05,"",,,"",""
"T10",2005,249,01-JUN-05,01-JUN-05,"",,,"",""
"T10",2005,208,02-JUN-05,02-JUN-05,"",,,"",""
"T10",2005,56,02-JUN-05,02-JUN-05,"",,,"",""
"T10",2005,148,02-JUN-05,02-JUN-05,"",,,"",""
"T10",2005,99,02-JUN-05,02-JUN-05,"",,,"",""
"T10",2005,28,02-JUN-05,02-JUN-05,"",,,"",""
"T10",2005,261,02-JUN-05,02-JUN-05,"",,,"",""
"T09",2005,433,03-JUN-05,03-JUN-05,"12",5,180,"2",""
"T09",2005,437,03-JUN-05,03-JUN-05,"12",2,255,"2",""
"T09",2005,401,04-JUN-05,04-JUN-05,"11",5,315,"",""
"T09",2005,410,07-JUN-05,07-JUN-05,"12",2,225,"2",""
"T09",2005,415,07-JUN-05,07-JUN-05,"12",0,0,"3",""
"T09",2005,409,07-JUN-05,07-JUN-05,"12",1,344,"2",""
"T09",2005,407,08-JUN-05,08-JUN-05,"13",8,315,"1",""
"T09",2005,506,08-JUN-05,08-JUN-05,"12",7,0,"2",""
"T09",2005,507,08-JUN-05,08-JUN-05,"12",0,0,"2",""
"T09",2005,405,08-JUN-05,08-JUN-05,"12",0,0,"3",""
"T09",2005,411,08-JUN-05,08-JUN-05,"12",0,0,"3",""
"T09",2005,403,09-JUN-05,09-JUN-05,"12",3,315,"2",""
"T10",2005,50,14-JUN-05,14-JUN-05,"",,,"",""
"T09",2005,406,14-JUN-05,14-JUN-05,"12",0,0,"2",""
"T09",2005,402,14-JUN-05,14-JUN-05,"12",0,0,"2",""
"T09",2005,418,17-JUN-05,17-JUN-05,"11",0,0,"2",""
"T09",2005,417,17-JUN-05,17-JUN-05,"11",4,296,"2",""
"T09",2005,413,17-JUN-05,17-JUN-05,"12",5,270,"2",""
"T09",2005,412,17-JUN-05,17-JUN-05,"12",0,0,"3",""
"T09",2005,502,17-JUN-05,17-JUN-05,"12",4,90,"2",""
"T09",2005,434,17-JUN-05,17-JUN-05,"12",0,0,"3",""
"T04",2005,164,20-JUN-05,,"",,,"",""
"T04",2005,184,20-JUN-05,,"",,,"",""
"T05",2005,9,20-JUN-05,20-JUN-05,"2",4,94,"2",""
"T05",2005,26,20-JUN-05,20-JUN-05,"2",10,118,"2",""
"T05",2005,51,20-JUN-05,20-JUN-05,"2",4,184,"2",""
"T05",2005,91,20-JUN-05,20-JUN-05,"2",9,15,"2",""
"T05",2005,118,20-JUN-05,20-JUN-05,"2",3,58,"2",""
"T05",2005,210,20-JUN-05,20-JUN-05,"2",4,206,"2",""
"T05",2005,256,20-JUN-05,20-JUN-05,"2",0,0,"2",""
"T05",2005,289,20-JUN-05,20-JUN-05,"2",12,230,"2",""
"T04",2005,800,20-JUN-05,,"",,,"",""
"T09",2005,422,20-JUN-05,20-JUN-05,"12",0,0,"2",""
"T04",2005,206,21-JUN-05,,"",,,"",""
"T04",2005,507,21-JUN-05,,"",,,"",""
"T04",2005,509,21-JUN-05,,"",,,"",""
"T09",2005,419,21-JUN-05,21-JUN-05,"11",5,90,"2",""
"T09",2005,421,21-JUN-05,21-JUN-05,"12",0,0,"3",""
"T09",2005,423,21-JUN-05,21-JUN-05,"12",5,180,"2",""
"T04",2005,226,21-JUN-05,,"",,,"",""
"T05",2005,344,22-JUN-05,22-JUN-05,"18",0,0,"2",""
"T05",2005,343,22-JUN-05,22-JUN-05,"18",0,0,"2",""
"T05",2005,336,22-JUN-05,22-JUN-05,"11",4,230,"2",""
"T05",2005,334,22-JUN-05,22-JUN-05,"11",4,276,"2",""
"T05",2005,332,22-JUN-05,22-JUN-05,"11",4,284,"2",""
"T05",2005,329,22-JUN-05,,"11",8,276,"2",""
"T05",2005,323,22-JUN-05,22-JUN-05,"11",4,310,"2",""
"T05",2005,318,22-JUN-05,22-JUN-05,"11",0,310,"2",""
"T10",2005,34,22-JUN-05,22-JUN-05,"",,,"",""
"T10",2005,162,22-JUN-05,22-JUN-05,"",,,"",""
"T10",2005,32,22-JUN-05,22-JUN-05,"",,,"",""
"T10",2005,14,22-JUN-05,22-JUN-05,"",,,"",""
"T04",2005,138,22-JUN-05,,"",,,"",""
"T04",2005,78,22-JUN-05,,"",,,"",""
"T04",2005,801,22-JUN-05,,"",,,"",""
"T04",2005,505,22-JUN-05,,"",,,"",""
"T04",2005,502,23-JUN-05,,"",,,"",""
"T04",2005,501,23-JUN-05,,"",,,"",""
"T04",2005,16,23-JUN-05,,"",,,"",""
"T04",2005,19,23-JUN-05,,"",,,"",""
"T04",2005,500,23-JUN-05,,"",,,"",""
"T04",2005,61,23-JUN-05,,"",,,"",""
"T04",2005,71,23-JUN-05,,"",,,"",""
"T04",2005,21,24-JUN-05,,"",,,"",""
"T04",2005,2,24-JUN-05,,"",,,"",""
"T04",2005,13,24-JUN-05,,"",,,"",""
"T04",2005,1,24-JUN-05,,"",,,"",""
"T08",2005,104,28-JUN-05,28-JUN-05,"",,,"",""
"T08",2005,421,28-JUN-05,28-JUN-05,"",,,"",""
"T08",2005,194,28-JUN-05,28-JUN-05,"",,,"",""
"T07",2005,6,28-JUN-05,28-JUN-05,"15",6,127,"2",""
"T08",2005,72,28-JUN-05,28-JUN-05,"",,,"",""
"T08",2005,32,28-JUN-05,28-JUN-05,"",,,"",""
"T07",2005,1,28-JUN-05,28-JUN-05,"15",3,142,"2",""
"T08",2005,61,29-JUN-05,30-JUN-05,"",,,"",""
"T07",2005,151,30-JUN-05,30-JUN-05,"16",11,178,"1",""
"T07",2005,2,30-JUN-05,30-JUN-05,"15",7,210,"2",""
"T08",2005,327,30-JUN-05,30-JUN-05,"",,,"",""
"T08",2005,168,30-JUN-05,30-JUN-05,"",,,"",""
"T07",2005,30,30-JUN-05,30-JUN-05,"15",4,255,"2",""
"T08",2005,370,30-JUN-05,30-JUN-05,"",,,"",""
"T07",2005,152,01-JUL-05,01-JUL-05,"16",12,180,"2",""
"T08",2005,218,01-JUL-05,01-JUL-05,"",,,"",""
"T08",2005,239,01-JUL-05,01-JUL-05,"",,,"",""
"T09",2005,416,04-JUL-05,04-JUL-05,"11",2,315,"2",""
"T09",2005,420,04-JUL-05,04-JUL-05,"12",1,315,"2",""
"T04",2005,419,04-JUL-05,,"",,,"",""
"T09",2005,505,04-JUL-05,04-JUL-05,"11",1,242,"2",""
"T04",2005,428,04-JUL-05,,"",,,"",""
"T04",2005,429,04-JUL-05,,"",,,"",""
"T04",2005,372,04-JUL-05,,"",,,"",""
"T07",2005,156,05-JUL-05,05-JUL-05,"16",6,100,"2",""
"T04",2005,402,05-JUL-05,,"",,,"",""
"T04",2005,404,05-JUL-05,,"",,,"",""
"T07",2005,272,05-JUL-05,05-JUL-05,"16",15,244,"3",""
"T04",2005,390,05-JUL-05,,"",,,"",""
"T04",2005,399,06-JUL-05,,"",,,"",""
"T04",2005,371,06-JUL-05,,"",,,"",""
"T04",2005,449,06-JUL-05,,"",,,"",""
"T04",2005,411,06-JUL-05,,"",,,"",""
"T04",2005,310,07-JUL-05,,"",,,"",""
"T04",2005,450,07-JUL-05,,"",,,"",""
"T09",2005,442,07-JUL-05,07-JUL-05,"11",0,0,"3",""
"T04",2005,454,07-JUL-05,,"",,,"",""
"T07",2005,320,07-JUL-05,07-JUL-05,"16",18,122,"2",""
"T04",2005,444,07-JUL-05,,"",,,"",""
"T07",2005,277,07-JUL-05,07-JUL-05,"16",3,284,"2",""
"T07",2005,308,08-JUL-05,08-JUL-05,"16",10,282,"2",""
"T09",2005,504,08-JUL-05,08-JUL-05,"12",2,270,"2",""
"T09",2005,414,08-JUL-05,08-JUL-05,"12",3,315,"2",""
"T04",2005,307,09-JUL-05,,"",,,"",""
"T09",2005,438,09-JUL-05,09-JUL-05,"11",,,"2",""
"T04",2005,326,09-JUL-05,,"",,,"",""
"T04",2005,348,09-JUL-05,,"",,,"",""
"T04",2005,396,09-JUL-05,,"",,,"",""
"T08",2005,423,11-JUL-05,11-JUL-05,"",,,"",""
"T08",2005,401,11-JUL-05,11-JUL-05,"",,,"",""
"T09",2005,447,11-JUL-05,11-JUL-05,"11",3,82,"2",""
"T09",2005,448,11-JUL-05,11-JUL-05,"11",,,"3",""
"T08",2005,422,12-JUL-05,12-JUL-05,"",,,"",""
"T09",2005,449,12-JUL-05,12-JUL-05,"11",1,71,"2",""
"T09",2005,446,12-JUL-05,12-JUL-05,"11",1,70,"2",""
"T09",2005,501,14-JUL-05,14-JUL-05,"13",6,135,"2",""
"T09",2005,436,14-JUL-05,14-JUL-05,"12",5,360,"2",""
"T09",2005,429,17-JUL-05,17-JUL-05,"12",6,180,"2",""
"T09",2005,500,19-JUL-05,19-JUL-05,"13",180,2,"2",""
"T07",2005,436,19-JUL-05,19-JUL-05,"16",4,0,"2",""
"T07",2005,305,19-JUL-05,19-JUL-05,"16",13,150,"2",""
"T07",2005,451,20-JUL-05,20-JUL-05,"16",32,278,"2",""
"T04",2005,254,21-JUL-05,,"",,,"",""
"T04",2005,251,21-JUL-05,,"",,,"",""
"T07",2005,102,21-JUL-05,21-JUL-05,"16",8,260,"2",""
"T09",2005,445,21-JUL-05,21-JUL-05,"11",0,0,"4",""
"T04",2005,611,21-JUL-05,,"",,,"",""
"T04",2005,247,21-JUL-05,,"",,,"",""
"T07",2005,47,22-JUL-05,22-JUL-05,"16",18,117,"3",""
"T07",2005,59,22-JUL-05,22-JUL-05,"16",22,120,"3",""
"T09",2005,439,22-JUL-05,22-JUL-05,"12",3,90,"2",""
"T09",2005,426,22-JUL-05,22-JUL-05,"12",4,135,"2",""
"T09",2005,424,22-JUL-05,22-JUL-05,"12",0,0,"3",""
"T09",2005,425,22-JUL-05,22-JUL-05,"16",0,0,"3",""
"T08",2005,420,27-JUL-05,27-JUL-05,"",,,"",""
"T09",2005,431,27-JUL-05,27-JUL-05,"12",2,135,"2",""
"T08",2005,416,27-JUL-05,27-JUL-05,"",,,"",""
"T08",2005,431,01-AUG-05,01-AUG-05,"",,,"",""
"T08",2005,430,01-AUG-05,01-AUG-05,"",,,"",""
"T04",2004,251,05-AUG-05,,"",,,"",""
"T12",2005,41,09-AUG-05,09-AUG-05,"15",,,"2",""
"T12",2005,321,09-AUG-05,09-AUG-05,"19",,,"",""
"T12",2005,74,09-AUG-05,09-AUG-05,"15",,,"",""
"T12",2005,349,09-AUG-05,09-AUG-05,"19",,,"",""
"T12",2005,92,09-AUG-05,09-AUG-05,"15",,,"",""
"T12",2005,2,09-AUG-05,09-AUG-05,"12",,,"2",""
"T12",2005,7,09-AUG-05,09-AUG-05,"12",,,"2",""
"T12",2005,335,10-AUG-05,10-AUG-05,"19",,,"",""
"T12",2005,331,10-AUG-05,10-AUG-05,"19",,,"",""
"T12",2005,308,10-AUG-05,10-AUG-05,"19",,,"",""
"T12",2005,280,10-AUG-05,,"19",,,"",""
"T12",2005,54,11-AUG-05,11-AUG-05,"15",,,"",""
"T12",2005,24,11-AUG-05,11-AUG-05,"15",,,"2",""
"T12",2005,166,11-AUG-05,11-AUG-05,"15",,,"",""
"T12",2005,149,11-AUG-05,11-AUG-05,"15",,,"",""
"T12",2005,134,11-AUG-05,11-AUG-05,"15",,,"",""
"T12",2005,100,11-AUG-05,11-AUG-05,"15",,,"",""
"T12",2005,245,12-AUG-05,12-AUG-05,"15",,,"",""
"T12",2005,269,12-AUG-05,12-AUG-05,"19",,,"",""
"T02",2005,441,06-SEP-05,06-SEP-05,"18",6,170,"2",""
"T02",2005,439,06-SEP-05,06-SEP-05,"18",5,84,"1",""
"T02",2005,443,06-SEP-05,06-SEP-05,"15",15,161,"2",""
"T02",2005,434,06-SEP-05,06-SEP-05,"15",13,170,"2",""
"T02",2005,436,07-SEP-05,07-SEP-05,"15",16,280,"2",""
"T02",2005,440,07-SEP-05,07-SEP-05,"2",5,63,"2",""
"T02",2005,435,07-SEP-05,07-SEP-05,"15",20,280,"2",""
"T02",2005,437,14-SEP-05,14-SEP-05,"3",25,180,"1",""
"T02",2005,438,14-SEP-05,14-SEP-05,"3",14,302,"2",""
"T02",2005,442,14-SEP-05,14-SEP-05,"18",7,330,"2",""
"T02",2005,396,16-SEP-05,16-SEP-05,"2",16,114,"2",""
"T02",2005,424,16-SEP-05,16-SEP-05,"15",15,293,"1",""
"T02",2005,384,16-SEP-05,16-SEP-05,"2",13,300,"2",""
"T02",2005,428,16-SEP-05,16-SEP-05,"2",12,285,"2",""
"T11",2005,917,25-SEP-05,25-SEP-05,"16",35,18,"2","U4e"
"T11",2005,918,25-SEP-05,25-SEP-05,"16",25,40,"3","U4e"
"T11",2005,906,25-SEP-05,25-SEP-05,"15",40,2,"2","H18a"
"T11",2005,905,25-SEP-05,25-SEP-05,"15",40,35,"2","H18a"
"T11",2005,915,26-SEP-05,26-SEP-05,"18",5,95,"1","M6"
"T11",2005,916,26-SEP-05,26-SEP-05,"18",5,116,"2","M6"
"T11",2005,909,26-SEP-05,26-SEP-05,"15",1,,"1","M15b"
"T11",2005,910,26-SEP-05,26-SEP-05,"15",2,,"2","M15b"
"T11",2005,911,26-SEP-05,26-SEP-05,"18",0,,"2","M17a"
"T11",2005,912,26-SEP-05,26-SEP-05,"18",0,,"2","M17a"
"T11",2005,904,27-SEP-05,27-SEP-05,"15",25,240,"2","H15"
"T11",2005,903,27-SEP-05,27-SEP-05,"15",5,255,"2","H15"
"T11",2005,914,28-SEP-05,28-SEP-05,"16",10,320,"1","U5b"
"T11",2005,913,29-SEP-05,29-SEP-05,"16",10,320,"1","U5b"
"T11",2005,902,29-SEP-05,29-SEP-05,"16",10,215,"3","CG10a"
"T11",2005,901,29-SEP-05,29-SEP-05,"16",15,195,"3","CG10a"
"T11",2005,908,04-OCT-05,04-OCT-05,"15",15,95,"3","H21a"
"T11",2005,907,04-OCT-05,04-OCT-05,"15",15,220,"3","H21a"
"T04",2006,501,26-JUN-06,26-JUN-06,"",,,"",""
"T04",2006,206,27-JUN-06,27-JUN-06,"",,,"",""
"T04",2006,226,27-JUN-06,27-JUN-06,"",,,"",""
"T04",2006,507,27-JUN-06,27-JUN-06,"",,,"",""
"T04",2006,800,27-JUN-06,27-JUN-06,"",,,"",""
"T04",2006,509,27-JUN-06,27-JUN-06,"",,,"",""
"T04",2006,61,28-JUN-06,28-JUN-06,"",,,"",""
"T04",2006,21,28-JUN-06,28-JUN-06,"",,,"",""
"T04",2006,13,28-JUN-06,28-JUN-06,"",,,"",""
"T04",2006,1,28-JUN-06,28-JUN-06,"",,,"",""
"T04",2006,71,29-JUN-06,,"",,,"",""
"T04",2006,502,29-JUN-06,29-JUN-06,"",,,"",""
"T04",2006,78,29-JUN-06,20-JUL-06,"",,,"",""
"T04",2006,500,30-JUN-06,30-JUN-06,"",,,"",""
"T04",2006,19,30-JUN-06,30-JUN-06,"",,,"",""
"T08",2006,422,30-JUN-06,30-JUN-06,"",,,"",""
"T04",2006,371,03-JUL-06,03-JUL-06,"",,,"",""
"T08",2006,423,03-JUL-06,03-JUL-06,"",,,"",""
"T04",2006,411,03-JUL-06,03-JUL-06,"",,,"",""
"T04",2006,449,03-JUL-06,03-JUL-06,"",,,"",""
"T04",2006,450,03-JUL-06,03-JUL-06,"",,,"",""
"T04",2006,444,03-JUL-06,03-JUL-06,"",,,"",""
"T04",2006,611,04-JUL-06,04-JUL-06,"",,,"",""
"T04",2006,251,04-JUL-06,04-JUL-06,"",,,"",""
"T04",2006,254,04-JUL-06,04-JUL-06,"",,,"",""
"T04",2006,247,04-JUL-06,04-JUL-06,"",,,"",""
"T07",2006,1,06-JUL-06,06-JUL-06,"15",3,142,"2",""
"T07",2006,6,06-JUL-06,06-JUL-06,"15",6,127,"2",""
"T07",2006,277,07-JUL-06,07-JUL-06,"16",3,284,"2",""
